id_puntata,Character,Line,Season,Episode_Number
0,Michael,All right Jim. Your quarterlies look very good. How are things at the library?,1,1
1,Michael,Gotcha. Good. I’d go with the rows. That’s a good idea.,1,2
2,Michael,[Bleep] They always want credit for something they supPOSED to do!,1,3
3,Mr. Brown,Stop it!,1,4
4,Michael,[As Chris Rock] What you want a cookie?,1,5
5,Mr. Brown," Now, this is a simple acronym. HERO. Uh, at Diversity Today, we believe it is very easy to be a HERO. All you need are honesty, empathy, respect and open-mindedness.",1,6
6,Dwight," Excuse me, I’m sorry, but that’s not all it takes to be a hero.",2,7
7,Mr. Brown," Oh, great. Well, what is a hero to you?",2,8
8,Dwight," A hero kills people, people that wish him harm.",2,9
9,Mr. Brown,OK.,2,10
10,Dwight," A hero is part-human and part-supernatural. A hero is born out of a childhood trauma, or out of a disaster that must be avenged.",2,11
11,Mr. Brown," Ok, you’re thinking of a superhero.",2,12
12,Dwight,We all have a hero in our heart.,2,13
13,Mr. Brown," Now, I need you to take these forms. This kind of expresses the joint experience we had today. And I need you to look ’em over and sign them as kind of a group pledge.",2,14
14,Michael,[Clears throat] I don’t think I can sign this.,2,15
15,Mr. Brown,I can’t leave until you do.,2,16
16,Michael," Well, OK, it says here that I learned something and I knew all this stuff already, so… I know, I could sign something that says that I taught something, or that I helped you teach something, so… Pam! Where is she? Pam, could we change something on this?",2,17
17,Mr. Brown," Michael, can I talk to you candidly?",2,18
18,Michael,Sure.,2,19
19,Mr. Brown,We both know that I’m here because of the comments you made.,2,20
20,Michael," Here’s the thing. This office, I think this is very advanced in terms of… racial awareness and it’s probably more advanced than you’re used to. That’s probably throwing you off a little bit.",2,21
21,Mr. Brown," Um, it’s not throwing me. I need your signature.",2,22
